epiyear,territory_id,contingency,contingency_max
2016,0,3,4
2017,0,2,2
2013,0,1,4
2014,0,1,1
2015,0,1,1
2016,1,3,3
2017,1,1,1
2013,1,1,3
2014,1,1,1
2015,1,1,1
2016,2,1,4
2017,2,1,1
2013,2,1,1
2014,2,1,1
2015,2,1,1
2016,3,1,4
2017,3,1,4
2013,3,3,4
2014,3,1,4
2015,3,1,1
2016,4,3,4
2017,4,2,3
2013,4,1,4
2014,4,2,3
2015,4,1,2
2016,5,2,2
2017,5,1,3
2013,5,3,4
2014,5,1,3
2015,5,1,1
2016,11,1,1
2017,11,1,1
2013,11,1,1
2014,11,1,1
2015,11,1,1
2016,12,1,1
2017,12,1,1
2013,12,1,1
2014,12,1,1
2015,12,1,1
2016,13,1,1
2017,13,2,2
2013,13,1,1
2014,13,1,1
2015,13,1,1
2016,14,1,1
2017,14,1,1
2013,14,1,1
2014,14,1,1
2015,14,1,1
2016,15,1,3
2017,15,1,1
2013,15,3,3
2014,15,1,1
2015,15,1,1
2016,16,1,1
2017,16,1,1
2013,16,1,1
2014,16,1,1
2015,16,1,1
2016,17,1,1
2017,17,2,2
2013,17,1,1
2014,17,1,1
2015,17,1,1
2016,21,1,1
2017,21,1,1
2013,21,1,1
2014,21,1,1
2015,21,1,1
2016,22,1,1
2017,22,1,1
2013,22,1,1
2014,22,1,1
2015,22,1,1
2016,23,2,2
2017,23,1,1
2013,23,1,1
2014,23,1,1
2015,23,1,1
2016,24,1,1
2017,24,1,1
2013,24,1,1
2014,24,1,1
2015,24,1,1
2016,25,2,2
2017,25,1,1
2013,25,1,1
2014,25,1,1
2015,25,1,1
2016,26,1,1
2017,26,1,1
2013,26,1,1
2014,26,1,1
2015,26,1,1
2016,27,1,1
2017,27,1,1
2013,27,1,1
2014,27,1,1
2015,27,1,1
2016,28,1,1
2017,28,1,1
2013,28,1,1
2014,28,1,1
2015,28,1,1
2016,29,1,2
2017,29,1,1
2013,29,1,1
2014,29,1,1
2015,29,1,1
2016,31,2,4
2017,31,1,1
2013,31,2,4
2014,31,1,1
2015,31,1,1
2016,32,1,3
2017,32,2,2
2013,32,1,1
2014,32,1,1
2015,32,1,1
2016,33,1,2
2017,33,1,1
2013,33,1,2
2014,33,1,1
2015,33,1,1
2016,35,1,4
2017,35,2,4
2013,35,1,4
2014,35,1,1
2015,35,1,1
2016,41,1,4
2017,41,1,1
2013,41,3,4
2014,41,1,1
2015,41,1,1
2016,42,3,3
2017,42,1,1
2013,42,2,2
2014,42,1,1
2015,42,1,1
2016,43,1,4
2017,43,1,2
2013,43,3,4
2014,43,1,1
2015,43,1,2
2016,50,1,4
2017,50,1,1
2013,50,1,4
2014,50,1,1
2015,50,1,1
2016,51,1,2
2017,51,1,1
2013,51,1,1
2014,51,1,1
2015,51,1,1
2016,52,1,3
2017,52,1,2
2013,52,1,1
2014,52,1,1
2015,52,1,1
2016,53,1,3
2017,53,2,2
2013,53,1,1
2014,53,1,1
2015,53,1,1
2016,1001,3,3
2017,1001,1,2
2013,1001,2,3
2014,1001,1,1
2015,1001,1,1
2016,1002,1,4
2017,1002,1,1
2013,1002,1,4
2014,1002,1,3
2015,1002,1,3
2016,1003,2,2
2017,1003,1,3
2013,1003,1,1
2014,1003,1,4
2015,1003,1,1
2016,1004,1,4
2017,1004,1,3
2013,1004,1,4
2014,1004,3,4
2015,1004,1,1
